Resource ID,Metadata Version,Metadata Language,Title,Logos Title,Abbreviated Title,Logos Abbreviated Title,Resource Type,Edition,Authors,My Tags,Community Tags,My Rating,Community Rating,Publishers,Publication Date,Electronic Publication Date,Series,Subjects,Languages,File Name,File Version,Last Updated,License
LLS:FDNMRTLDDDLM,2024-03-25T19:43:06Z,português,Fedão (a imortalidade da alma),Fedão (a imortalidade da alma),"","",Monografia,Logos Research,Platão,"","",,"3,2",Faithlife,2021,2021,"","",português,FDNMRTLDDDLM.logos4,2022-01-14T22:30:36Z,2025-01-04T15:02:00-03:00,Permanente
LLS:FBLXXMSS-PT,2024-03-25T19:42:57Z,português,Manuscritos da Septuaginta,Manuscritos da Septuaginta,"","",Monografia,Logos Research,"Brannan, Rick","","",,"3,6",Lexham Press,2020,2020,"","",português,FBLXXMSS-PT.logos4,2020-10-22T20:49:45Z,2025-01-04T15:02:00-03:00,Permanente
LLS:CURADASOLIDO,2022-09-29T23:05:53Z,português,A cura da solidão,A cura da solidão,"","",Monografia,Logos Research,"Zagari, Maurício","","",,"3,2",GodBooks Editora,2020,2022,"","",português,CURADASOLIDO.logos4,2022-09-17T00:35:31Z,2025-01-04T15:02:00-03:00,Permanente
LLS:FBWORDPLAY-PT,2024-03-25T19:43:00Z,português,Jogo de Palavras na Bíblia,Jogo de Palavras na Bíblia,"","",Anotações bíblicas,Logos Research,"Brannan, Rick","","",,"3,4",Faithlife,2022,2022,"","",português,FBWORDPLAY-PT.logos4,2022-09-08T16:30:16Z,2025-01-04T15:02:00-03:00,Permanente
LLS:FIRSTSTEPSCHAR,2024-12-03T02:01:59Z,inglês,Character – How Do I Change?,Character – How Do I Change?,"","",Monografia,Logos Reader,"Dickens, Sharon","",christianliving; character,,"2,9",Christian Focus,2019,"",First Steps,"",inglês,FIRSTSTEPSCHAR.logos4,2024-05-30T20:35:37Z,2025-05-30T20:12:47-03:00,Permanente
LLS:COUNSELBYBOOK,2023-09-18T14:53:33Z,inglês,Counseling by the Book,Counseling by the Book,"","",Monografia,Logos Research,"Babler, John Dr.","",counseling,,"2,9",Create Space,2014,"","","",inglês,COUNSELBYBOOK.logos4,2023-09-13T14:42:00Z,2025-11-30T12:59:16-03:00,Permanente
LLS:LFYRPRNTSMSTKS,2026-03-24T21:54:43Z,inglês,Life Beyond Your Parents' Mistakes,Life Beyond Your Parents' Mistakes,"","",Monografia,Logos Reader,"Powlison, David","",counseling; parenting,,"2,9",New Growth Press,2005,"",MiniBooks,"",inglês,LFYRPRNTSMSTKS.logos4,2024-08-12T18:10:51Z,2025-11-30T12:58:35-03:00,Permanente
LLS:BRRSCHTVNFRCHT,2025-12-05T10:37:09Z,alemão,Überrascht von Furcht: Der Schlüssel um wirklich mit Gott zu leben,Überrascht von Furcht: Der Schlüssel um wirklich mit Gott zu leben,"","",Monografia,Logos Research,"Bubenzer, Nathanael","","",,"3,1",Crosspaint,2021,"","","",alemão,BRRSCHTVNFRCHT.logos4,2024-03-12T23:49:27Z,2025-05-01T18:50:25-03:00,Permanente
LLS:DBLE1C5CD49C0757432,2025-03-06T15:39:05Z,estoniano,Piibel Kõigile,Piibel Kõigile,PKP,PKP,Bíblia,Logos Reader,"","","",,"3,0",Sihtasutus Piibel Kõigile,2023,2023,"",Bible.,estoniano,DBLE1C5CD49C0757432.logos4,2023-06-20T14:25:55Z,2025-07-01T18:39:13-03:00,Permanente
LLS:SINGLEPARENTS,2024-07-23T17:12:34Z,inglês,Single Parents,Single Parents,"","",Monografia,Logos Reader,"Jones, Robert D.","",counseling; parenting,,"3,1",New Growth Press,2008,"",MiniBooks,"",inglês,SINGLEPARENTS.logos4,2024-06-03T23:05:09Z,2025-11-30T15:34:39-03:00,Permanente
