Resource ID,Metadata Version,Metadata Language,Title,Logos Title,Abbreviated Title,Logos Abbreviated Title,Resource Type,Edition,Authors,My Tags,Community Tags,My Rating,Community Rating,Publication Date,Electronic Publication Date,Series,Subjects,Languages,File Name,File Version,Last Updated,License
LLS:NIDOTTE,2012-04-10T17:36:38Z,inglês,New International Dictionary of Old Testament Theology and Exegesis,New International Dictionary of Old Testament Theology and Exegesis,NIDOTTE,NIDOTTE,Léxico,Logos,"VanGemeren, Willem A.","",theology; dictionary; lexiconhebrew; lexicon; hebrew,,"4,5",1997,2010,"","Bible. O.T.--Criticism, interpretation, etc.--Dictionaries.; Bible. O.T.--Criticism, interpretation, etc.--Dictionaries--Hebrew.; Bible. O.T.--Dictionaries.; Bible. O.T.--Dictionaries--Hebrew.; Bible. O.T.--Theology--Dictionaries.; Bible. O.T.--Theology--Dictionaries--Hebrew.; Hebrew language--Glossaries, vocabularies, etc.",inglês,NIDOTTE.logos4,2010-06-01T19:05:18Z,2014-09-04T08:14:17-04:00,Permanente
LLS:DCTVRYDYTHCLTR,2013-12-04T21:22:54Z,inglês,Dictionary of Everyday Theology and Culture,Dictionary of Everyday Theology and Culture,"","",Enciclopédia,Logos,"Demarest, Bruce; Matthews, Keith J.","",theology; dictionarytheology,,"3,3",2010,2013,The Navigators Reference Library,"Christian ethics--Dictionaries.; Christian life--Dictionaries.; Christianity and culture--Dictionaries.; Theology, doctrinal--Dictionaries.",inglês,DCTVRYDYTHCLTR.logos4,2013-02-11T23:15:55Z,2014-09-04T08:14:17-04:00,Permanente
LLS:ZPHDICTCHRSPIRIT,2012-05-14T21:06:01Z,inglês,Dictionary of Christian Spirituality,Dictionary of Christian Spirituality,"","",Enciclopédia,Logos,"Scorgie, Glen G.; Chan, Simon; Smith, Gordon T.; Smith, James D., III","",dictionary; spirituality,,"3,7",2011,2012,"",Spirituality.,inglês,ZPHDICTCHRSPIRIT.logos4,2012-05-02T23:23:25Z,2014-08-30T04:30:53-04:00,Permanente
LLS:DICTHINTBBL,2012-10-19T23:34:21Z,inglês,Dictionary for Theological Interpretation of the Bible,Dictionary for Theological Interpretation of the Bible,"","",Enciclopédia,Logos,"Vanhoozer, Kevin J.; Bartholomew, Craig G.; Treier, Daniel J.; Wright, N. T.","",theology; dictionary; hermeneutics; dictionarytheology; dictionarybible,,"4,2",2005,2009,"","Bible--Criticism, interpretation, etc.--Dictionaries.; Bible--Theology--Dictionaries.",inglês,DICTHINTBBL.lbxlls,2009-06-29T19:17:52Z,2014-08-29T21:31:58-04:00,Permanente
LLS:ENCYDICTCULTS,2012-04-10T17:36:38Z,inglês,"Encyclopedic Dictionary of Cults, Sects, and World Religions","Encyclopedic Dictionary of Cults, Sects, and World Religions","","",Enciclopédia,Logos,"Nichols, Larry A.; Mather, George A.; Schmidt, Alvin J.","",cults; apologetics; zondervan-world-religions-and-cults-collection; dictionary; religions,,"3,3",2006,2011,"",Cults--Dictionaries.; Religions--Dictionaries.; Sects--Dictionaries.,inglês,ENCYDICTCULTS.logos4,2011-01-14T21:19:30Z,2014-09-04T08:14:17-04:00,Permanente
LLS:NTTHEOSCHR,2011-06-28T19:31:01Z,inglês,New Testament Theology: Magnifying God in Christ,New Testament Theology: Magnifying God in Christ,"","",Monografia,Logos,"Schreiner, Thomas R.","",theology; new-testament; theologynt; biblical-theology; baker-theology-collection,,"3,9",2008,2009,"",Bible. N.T.--Theology.,inglês,NTTHEOSCHR.logos4,2011-06-24T21:04:10Z,2014-08-30T04:30:53-04:00,Permanente
LLS:KNGHSBTYBBLCLTH,2013-12-10T23:32:55Z,inglês,The King in His Beauty: A Biblical Theology of the Old and New Testaments,The King in His Beauty: A Biblical Theology of the Old and New Testaments,"","",Monografia,Logos,"Schreiner, Thomas R.","",theology,,"4,0",2013,2013,"","Bible--Criticism, interpretation, etc.; Bible--Theology.",inglês,KNGHSBTYBBLCLTH.logos4,2013-11-27T19:35:19Z,2014-08-29T21:31:58-04:00,Permanente
LLS:NTBBCLTHEOUNFOLD,2013-09-11T21:36:58Z,inglês,A New Testament Biblical Theology: The Unfolding of the Old Testament in the New,A New Testament Biblical Theology: The Unfolding of the Old Testament in the New,"","",Monografia,Logos,"Beale, G. K.","",theology; biblical-theology; baker-academic-bible-interpretation-collection,,"4,1",2011,2013,"",Bible. N.T.--Relation to the Old Testament.; Bible. N.T.--Theology.,inglês,NTBBCLTHEOUNFOLD.logos4,2013-03-12T23:27:26Z,2014-08-29T21:31:58-04:00,Permanente
LLS:NIDNTT,2012-04-10T17:36:38Z,inglês,New International Dictionary of New Testament Theology,New International Dictionary of New Testament Theology,NIDNTT,NIDNTT,Léxico,Logos,"Brown, Colin","",theology; dictionary; lexicon; lexicongreek; dictionarybible,,"4,4",1986,2010,"","Bible. N.T.--Criticism, interpretation, etc.--Dictionaries.; Bible. N.T.--Dictionaries.; Bible. N.T.--Theology--Dictionaries.",inglês,NIDNTT.logos4,2012-01-25T01:13:14Z,2014-09-04T08:14:17-04:00,Permanente
LLS:BOICECM19CPS,2013-09-12T16:45:28Z,inglês,"Psalms, Volume 3: (Psalms 107–150): An Expositional Commentary","Psalms, Volume 3: (Psalms 107–150): An Expositional Commentary",Psalms 107-150 (Boice),Psalms 107-150 (Boice),Comentário bíblico,Logos,"Boice, James Montgomery","",commentaryexegetical; commentary; expository; boice; commentaryexpository,,"3,8",1998,2006,Boice’s Expositional Commentary,Bible. O.T. Psalms--Commentaries.; Bible. O.T. Psalms--Homiletical use.,inglês,BOICECM19CPS.lbxlls,2007-05-16T22:20:49Z,2014-09-05T01:18:29-04:00,Permanente
